TYPE,ADRESSE,ARRONDISSEMENT,HORAIRE,geo_shape,geo
SANISETTE,RUE VIGNON,PARIS 8EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.326530446470862, 48.87252784014987]], ""type"": ""MultiPoint""}","48.87252784014987, 2.326530446470862"
SANISETTE,4  AVENUE FRANKLIN D ROOSEVELT,PARIS 8EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.310160918160138, 48.87014131314518]], ""type"": ""MultiPoint""}","48.87014131314518, 2.310160918160138"
SANISETTE,3  RUE AMBROISE PARE,PARIS 10EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3532383458564863, 48.881814396150844]], ""type"": ""MultiPoint""}","48.881814396150844, 2.3532383458564863"
SANISETTE,11  PLACE DE LA BATAILLE DE STALINGRAD,PARIS 10EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3687424642685517, 48.88357327133693]], ""type"": ""MultiPoint""}","48.88357327133693, 2.3687424642685517"
SANISETTE,5  RUE DE MAZAGRAN,PARIS 10EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.351378014817514, 48.87049160141796]], ""type"": ""MultiPoint""}","48.87049160141796, 2.351378014817514"
SANISETTE,44  AVENUE PHILIPPE AUGUSTE,PARIS 11EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.393718336174479, 48.852136973453824]], ""type"": ""MultiPoint""}","48.852136973453824, 2.393718336174479"
SANISETTE,57  BOULEVARD DIDEROT,PARIS 12EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.384207324505033, 48.8471348151403]], ""type"": ""MultiPoint""}","48.8471348151403, 2.384207324505033"
SANISETTE,26  BOULEVARD DE REUILLY,PARIS 12EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3923025873634005, 48.83916534421365]], ""type"": ""MultiPoint""}","48.83916534421365, 2.3923025873634005"
SANISETTE,283  RUE DE CHARENTON,PARIS 12EME ARRONDISSEMENT,6 h - 1 h,"{""coordinates"": [[2.3935333570010866, 48.83473828707718]], ""type"": ""MultiPoint""}","48.83473828707718, 2.3935333570010866"
SANISETTE,36  AVENUE DAUMESNIL,PARIS 12EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3710836819740244, 48.84923929268928]], ""type"": ""MultiPoint""}","48.84923929268928, 2.3710836819740244"
