Type Objet,Commune,geo_shape,geo,Adresse
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.375021891291151, 48.895713804046515], ""type"": ""Point""}","48.895713804046515, 2.375021891291151",RUE CURIAL
FONTAINE_BOIS,PARIS 15EME ARRONDISSEMENT,"{""coordinates"": [2.2902499537632317, 48.836469869225226], ""type"": ""Point""}","48.836469869225226, 2.2902499537632317",220F  RUE DE LA CROIX NIVERT
FONTAINE_BOIS,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.399030106051282, 48.85893447276756], ""type"": ""Point""}","48.85893447276756, 2.399030106051282",127 FACE RUE DE LA REUNION
FONTAINE_BOIS,PARIS 15EME ARRONDISSEMENT,"{""coordinates"": [2.2789165411113967, 48.841048386839745], ""type"": ""Point""}","48.841048386839745, 2.2789165411113967",ESPLANADE MAX GUEDJ
FONTAINE_BOIS,PARIS 15EME ARRONDISSEMENT,"{""coordinates"": [2.2748474860246564, 48.83993461078188], ""type"": ""Point""}","48.83993461078188, 2.2748474860246564",RUE LEBLANC
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.370648920343553, 48.88679820749987], ""type"": ""Point""}","48.88679820749987, 2.370648920343553",RUE DE TANGER
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.3760553043837516, 48.899932035461426], ""type"": ""Point""}","48.899932035461426, 2.3760553043837516",RUE EMILE BOLLAERT
FONTAINE_BOIS,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.4045499462368616, 48.84960658762533], ""type"": ""Point""}","48.84960658762533, 2.4045499462368616",RUE MOUNET SULLY
FONTAINE_BOIS,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.400072559130381, 48.865352277963936], ""type"": ""Point""}","48.865352277963936, 2.400072559130381",RUE BELGRAND
FONTAINE_BOIS,PARIS 8EME ARRONDISSEMENT,"{""coordinates"": [2.3054478450965665, 48.87565599886544], ""type"": ""Point""}","48.87565599886544, 2.3054478450965665",RUE LAURE DIEBOLD
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.3790778750795862, 48.90067894210558], ""type"": ""Point""}","48.90067894210558, 2.3790778750795862",QUAI DU LOT
FONTAINE_TOTEM,PARIS 7EME ARRONDISSEMENT,"{""coordinates"": [2.309420012325649, 48.86294894866442], ""type"": ""Point""}","48.86294894866442, 2.309420012325649",49F QUAI D ORSAY
FONTNE_WALLACE,PARIS 10EME ARRONDISSEMENT,"{""coordinates"": [2.360849924619875, 48.87119658230944], ""type"": ""Point""}","48.87119658230944, 2.360849924619875",12F  PLACE JACQUES BONSERGENT
