route_id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;OperatorName;Pointgeo;Nom_commune
IDFM:C01163;137;IDFM:26893;Camille Flammarion;2.3395454148284824;48.897951886995365;RATP;48.897951886995365,2.3395454148284824;Paris
IDFM:C01163;137;IDFM:27025;Angélique Compoint;2.337085206312247;48.89834298768011;RATP;48.89834298768011,2.337085206312247;Paris
IDFM:C01163;137;IDFM:27023;Gérard de Nerval;2.335375197842292;48.90086958595244;RATP;48.900869585952435,2.335375197842292;Paris
IDFM:C01163;137;IDFM:490991;Gérard de Nerval;2.335171632051591;48.9007875176394;RATP;48.9007875176394,2.335171632051591;Paris
IDFM:C01165;139;IDFM:25263;Porte de la Villette;2.387836994660735;48.89748002146782;RATP;48.89748002146782,2.387836994660735;Paris
IDFM:C01165;139;IDFM:24463;Place Auguste Baron;2.386378352541115;48.90088095411284;RATP;48.900880954112836,2.386378352541115;Paris
IDFM:C01174;150;IDFM:25262;Porte de la Villette;2.3862137245945374;48.89748969931795;RATP;48.89748969931795,2.3862137245945374;Paris
IDFM:C01175;151;IDFM:22844;Porte de Pantin;2.395861942059323;48.88885135282118;RATP;48.88885135282118,2.395861942059323;Paris
IDFM:C02494;Bus de substitution du métro 14;IDFM:25723;Gare de Bercy;2.38153575374016;48.84003387061312;RATP;48.84003387061312,2.38153575374016;Paris
IDFM:C02494;Bus de substitution du métro 14;IDFM:488192;Cour Saint-Émilion;2.3850255853615927;48.83525825533533;RATP;48.83525825533533,2.3850255853615927;Paris
IDFM:C02494;Bus de substitution du métro 14;IDFM:41817;Olympiades;2.367480697806945;48.82719834163656;RATP;48.82719834163656,2.367480697806945;Paris
IDFM:C02514;Bus de substitution du métro 4;IDFM:27021;Simplon;2.346837804845701;48.895096073256965;RATP;48.895096073256965,2.346837804845701;Paris
IDFM:C01072;20;IDFM:25780;Juliette Lamber;2.3043339929569187;48.8882016837373;RATP;48.8882016837373,2.3043339929569187;Paris
IDFM:C01072;20;IDFM:25782;Jouffroy d'Abbans - Malesherbes;2.3075849915796995;48.88473112278396;RATP;48.88473112278396,2.3075849915796995;Paris
IDFM:C01072;20;IDFM:27489;Place du Général Catroux;2.3108524733796703;48.88204298124644;RATP;48.88204298124644,2.3108524733796703;Paris
IDFM:C01072;20;IDFM:25778;Lisbonne - Mairie du 8e;2.3163113180545927;48.87755062022042;RATP;48.87755062022042,2.3163113180545927;Paris
IDFM:C01072;20;IDFM:482801;Saint-Augustin;2.321253953468586;48.87493469197018;RATP;48.87493469197018,2.321253953468586;Paris
IDFM:C01072;20;IDFM:26750;Réaumur - Montmartre;2.3442341902954524;48.86790404167573;RATP;48.86790404167573,2.3442341902954524;Paris
IDFM:C01072;20;IDFM:24791;Réaumur - Arts et Métiers;2.3546902510736043;48.865694529348296;RATP;48.865694529348296,2.3546902510736043;Paris
IDFM:C01072;20;IDFM:39463;Square du Temple;2.3600569816618013;48.86492292971581;RATP;48.86492292971581,2.3600569816618013;Paris
IDFM:C01072;20;IDFM:463768;Ferry - Lenoir;2.370062747757269;48.86602824306101;RATP;48.86602824306101,2.370062747757269;Paris
IDFM:C01072;20;IDFM:37570;Saint-Maur - Jean Aicard;2.3795493182422462;48.866122764853145;RATP;48.866122764853145,2.3795493182422462;Paris
IDFM:C01072;20;IDFM:463674;Ramponeau;2.378099487845596;48.87109757844264;RATP;48.87109757844264,2.3780994878455957;Paris
IDFM:C01072;20;IDFM:26668;Jourdain;2.3887838450842582;48.874920825011394;RATP;48.874920825011394,2.3887838450842582;Paris
IDFM:C01072;20;IDFM:42079;Belleville;2.377688789565708;48.87238149515324;RATP;48.87238149515324,2.377688789565708;Paris
IDFM:C01072;20;IDFM:487181;Pasquier - Anjou;2.32318440768684;48.874316084816094;RATP;48.874316084816094,2.3231844076868398;Paris
IDFM:C01072;20;IDFM:34184;Jouffroy d'Abbans - Malesherbes;2.306850090565312;48.88564418939402;RATP;48.88564418939402,2.306850090565312;Paris
IDFM:C01073;21;IDFM:30135;Liège;2.329082219238927;48.880051080305;RATP;48.880051080305,2.329082219238927;Paris
IDFM:C01073;21;IDFM:30100;Glacière - Nordmann;2.344700839464914;48.83297557780672;RATP;48.83297557780672,2.344700839464914;Paris
IDFM:C01073;21;IDFM:30107;Port Royal - Berthollet;2.3455793543303707;48.83787295451679;RATP;48.83787295451679,2.3455793543303707;Paris
IDFM:C01073;21;IDFM:36556;Petits Champs - Danielle Casanova;2.333501734687616;48.868204495661466;RATP;48.868204495661466,2.333501734687616;Paris
IDFM:C01073;21;IDFM:37369;Place de Clichy;2.3278182046656117;48.88290386965311;RATP;48.88290386965311,2.3278182046656113;Paris
IDFM:C01073;21;IDFM:37372;Davy;2.326619561531786;48.89018170075054;RATP;48.89018170075054,2.326619561531786;Paris
IDFM:C01073;21;IDFM:9124;Davy;2.3264533565686203;48.89037861772898;RATP;48.89037861772898,2.3264533565686203;Paris
IDFM:C01073;21;IDFM:28229;Bucarest;2.324977884434762;48.881107209761566;RATP;48.881107209761566,2.324977884434762;Paris
IDFM:C01073;21;IDFM:9118;Auber;2.329454716971651;48.87230087870925;RATP;48.87230087870925,2.329454716971651;Paris
IDFM:C01073;21;IDFM:28265;Opéra - 4 Septembre;2.3325695342613595;48.86967422356524;RATP;48.86967422356524,2.3325695342613595;Paris
IDFM:C01073;21;IDFM:26956;Saint-Honoré - Valois;2.338539620041771;48.86224280267729;RATP;48.86224280267729,2.338539620041771;Paris
IDFM:C01073;21;IDFM:8432;Les Ecoles;2.34215989740663;48.8497257823768;RATP;48.849725782376794,2.34215989740663;Paris
IDFM:C01073;21;IDFM:30099;Berthollet - Vauquelin;2.3458414072912133;48.83979003773069;RATP;48.83979003773069,2.3458414072912133;Paris
IDFM:C01073;21;IDFM:30029;Stade Charléty - Porte de Gentilly;2.343056142264446;48.81970974721032;RATP;48.81970974721032,2.343056142264446;Paris
IDFM:C01074;22;IDFM:27324;Balzac;2.3021184769440843;48.87441995816339;RATP;48.87441995816339,2.3021184769440843;Paris
IDFM:C01074;22;IDFM:24793;Jasmin;2.267992727304905;48.85208303076493;RATP;48.85208303076493,2.267992727304905;Paris
IDFM:C01074;22;IDFM:25414;Ranelagh;2.2708828261347875;48.85591396926009;RATP;48.85591396926009,2.2708828261347875;Paris
IDFM:C01074;22;IDFM:18207;La Tour;2.281507740682118;48.86029515100327;RATP;48.86029515100327,2.281507740682118;Paris
IDFM:C01074;22;IDFM:18206;Scheffer;2.284262496884691;48.86118403254035;RATP;48.86118403254035,2.284262496884691;Paris
IDFM:C01074;22;IDFM:22807;Kléber - Boissière;2.29024872790574;48.86701150665934;RATP;48.86701150665934,2.29024872790574;Paris
IDFM:C01074;22;IDFM:478510;Charles de Gaulle - Etoile;2.2963539152692407;48.87422433007325;RATP;48.87422433007325,2.2963539152692407;Paris
IDFM:C01074;22;IDFM:423949;Hoche - Saint-Honoré;2.30227149187702;48.876228525151554;RATP;48.876228525151554,2.30227149187702;Paris
IDFM:C01074;22;IDFM:478615;Pasquier - Anjou;2.323822473029765;48.87452653884108;RATP;48.87452653884108,2.323822473029765;Paris
IDFM:C01074;22;IDFM:25085;Hoche - Saint-Honoré;2.3007578161476285;48.87624667324065;RATP;48.87624667324065,2.3007578161476285;Paris
IDFM:C01074;22;IDFM:39477;Gare Saint-Lazare;2.3235779813221877;48.875505436969725;RATP;48.875505436969725,2.3235779813221873;Paris
IDFM:C01074;22;IDFM:27326;Haussmann - Miromesnil;2.3130414686759737;48.875292547369824;RATP;48.875292547369824,2.3130414686759737;Paris
IDFM:C01074;22;IDFM:491352;Friedland - Haussmann;2.304117479802671;48.87480931904988;RATP;48.87480931904988,2.304117479802671;Paris
IDFM:C01074;22;IDFM:37114;Balzac;2.302429385911718;48.87461962548967;RATP;48.87461962548967,2.302429385911718;Paris
IDFM:C01074;22;IDFM:25405;Les Vignes - Boulainvilliers;2.2748483527817007;48.85595605374676;RATP;48.85595605374676,2.2748483527817007;Paris
IDFM:C01074;22;IDFM:37113;Porte de Saint-Cloud;2.2558325570483446;48.83803180521724;RATP;48.83803180521724,2.2558325570483446;Paris
IDFM:C01075;24;IDFM:22322;Buffon - Jardin des Plantes;2.358799420871498;48.841946720394496;RATP;48.841946720394496,2.358799420871498;Paris
IDFM:C01075;24;IDFM:25291;Berthollet - Vauquelin;2.34539516148003;48.840606018768014;RATP;48.840606018768014,2.34539516148003;Paris
