Geo Point;Geo Shape;nom_long;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;picto ligne;latitude;longitude
48.91609650409272,2.5150614461921545;"{""coordinates"": [2.515061446192155, 48.91609650409272], ""type"": ""Point""}";Lycée Henri Sellier;TRAM 4;4;TRAMWAY;0;0;0;0;0;SNCF;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e;48.91609650409272;2.5150614461921545
48.84312439991252,2.221851494752013;"{""coordinates"": [2.221851494752013, 48.84312439991252], ""type"": ""Point""}";Parc de Saint-Cloud;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;48.84312439991252;2.221851494752013
48.94780764959913,2.339180923415564;"{""coordinates"": [2.339180923415564, 48.94780764959913], ""type"": ""Point""}";Blumenthal;TRAM 8;8;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de;48.94780764959913;2.339180923415564
48.95543742610714,2.30787256835423;"{""coordinates"": [2.30787256835423, 48.95543742610714], ""type"": ""Point""}";Gilbert Bonnemaison;TRAM 8;8;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de;48.95543742610714;2.30787256835423
48.932790208020755,2.3012912911296626;"{""coordinates"": [2.301291291129663, 48.932790208020755], ""type"": ""Point""}";Timbaud;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;48.93279020802076;2.3012912911296626
48.91080258974541,2.233988601425483;"{""coordinates"": [2.233988601425483, 48.91080258974541], ""type"": ""Point""}";Jacqueline Auriol;TRAM 2;2;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;48.91080258974541;2.233988601425483
48.97359937603097,2.3660669758363624;"{""coordinates"": [2.366066975836362, 48.97359937603097], ""type"": ""Point""}";Butte Pinson;TRAM 5;5;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3;48.97359937603097;2.3660669758363624
48.963502348377595,2.360213791734574;"{""coordinates"": [2.360213791734574, 48.963502348377595], ""type"": ""Point""}";Mairie de Pierrefitte;TRAM 5;5;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3;48.9635023483776;2.360213791734574
48.94212545510683,2.356729741525478;"{""coordinates"": [2.356729741525478, 48.94212545510683], ""type"": ""Point""}";Baudelaire;TRAM 5;5;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3;48.94212545510683;2.356729741525478
48.93894788361666,2.356334439358093;"{""coordinates"": [2.356334439358093, 48.93894788361666], ""type"": ""Point""}";Marché de Saint-Denis;TRAM 5;5;TRAMWAY;0;0;0;TRAM 5;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b80fe7750c20d7588ef571595791b3a3;48.93894788361666;2.356334439358093
48.73998743037822,2.3594678210958517;"{""coordinates"": [2.359467821095852, 48.73998743037822], ""type"": ""Point""}";Hélène Boucher;TRAM 7;7;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/60158a0802e6af6fdd9f1071fa876cf0;48.73998743037822;2.359467821095852
48.80420493830302,2.289057253599707;"{""coordinates"": [2.289057253599707, 48.80420493830302], ""type"": ""Point""}";Centre de Châtillon;TRAM 6;6;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697;48.80420493830302;2.289057253599707
48.78368721522512,2.246977649164128;"{""coordinates"": [2.246977649164128, 48.78368721522512], ""type"": ""Point""}";Mail de la Plaine;TRAM 6;6;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697;48.78368721522512;2.246977649164128
48.78490216629836,2.237132704968192;"{""coordinates"": [2.237132704968192, 48.78490216629836], ""type"": ""Point""}";Georges Pompidou;TRAM 6;6;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7e2c2678c2250f7f2e96088e2529d697;48.78490216629836;2.237132704968192
48.949581345117245,2.342521826040313;"{""coordinates"": [2.342521826040313, 48.949581345117245], ""type"": ""Point""}";César;TRAM 8;8;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de;48.949581345117245;2.342521826040313
48.906628325845226,2.524048525746325;"{""coordinates"": [2.524048525746325, 48.906628325845226], ""type"": ""Point""}";République Marx Dormoy;TRAM 4;4;TRAMWAY;0;0;0;0;0;SNCF;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e;48.906628325845226;2.524048525746325
48.908416886385524,2.539173330939578;"{""coordinates"": [2.539173330939578, 48.908416886385524], ""type"": ""Point""}";Maurice Audin;TRAM 4;4;TRAMWAY;0;0;0;0;0;SNCF;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/7906e64f9ef97531ad26719b8713713e;48.90841688638552;2.539173330939578
48.79289156930713,2.386206654643861;"{""coordinates"": [2.386206654643861, 48.79289156930713], ""type"": ""Point""}";Musée MAC VAL;TRAM 9;9;TRAMWAY;0;0;0;0;0;KEOLIS;;48.79289156930713;2.386206654643861
48.790428594523156,2.3882351403366835;"{""coordinates"": [2.388235140336683, 48.790428594523156], ""type"": ""Point""}";Mairie de Vitry;TRAM 9;9;TRAMWAY;0;0;0;0;0;KEOLIS;;48.79042859452316;2.3882351403366835
48.78567213510769,2.3919914554961137;"{""coordinates"": [2.391991455496114, 48.78567213510769], ""type"": ""Point""}";Camille Groult;TRAM 9;9;TRAMWAY;0;0;0;0;0;KEOLIS;;48.78567213510769;2.3919914554961137
48.783005385498114,2.39383827034194;"{""coordinates"": [2.39383827034194, 48.783005385498114], ""type"": ""Point""}";Constant Coquelin;TRAM 9;9;TRAMWAY;0;0;0;0;0;KEOLIS;;48.783005385498114;2.39383827034194
48.74499563825808,2.408318294770455;"{""coordinates"": [2.408318294770455, 48.74499563825808], ""type"": ""Point""}";Orly - Gaston Viens;TRAM 9;9;TRAMWAY;0;0;0;TRAM 9;0;KEOLIS;;48.74499563825808;2.408318294770455
48.953168246764456,2.3154036121121684;"{""coordinates"": [2.315403612112168, 48.953168246764456], ""type"": ""Point""}";Rose Bertin;TRAM 8;8;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/b865807abbd35de8ec5a834f5886d3de;48.953168246764456;2.3154036121121684
48.91583789288306,2.425009894274451;"{""coordinates"": [2.425009894274451, 48.91583789288306], ""type"": ""Point""}";Hôpital Avicenne;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;48.91583789288306;2.425009894274451
